INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071339.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071346.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071354.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071401.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071409.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071417.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071424.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071432.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071439.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071447.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071454.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071502.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071510.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071517.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071525.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071532.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071540.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071548.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071555.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071603.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071610.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071618.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071626.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071633.jpg
INFO   | jvm 1    | 2014/02/24 13:05:33 | Added File: D:\BUWeatherCamera\2014\February\24\BUWeatherCamera20140224-071641.jpg
